*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ScrewShield
*Date=15:21:59
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
111;;;39.9718;-43.5217;0;Bottom;Via213
112;;;62.8318;-33.3617;0;Bottom;Via100
113;;;47.5918;-51.1417;0;Bottom;Via4
114;;;32.3518;-38.4417;0;Bottom;Via171
115;;;73.6727;-25.7862;0;Bottom;Copper Fill24
116;;;34.8918;-51.1417;0;Bottom;Via182
117;;;50.1318;-43.5217;0;Bottom;Via34
118;;;24.7318;-38.4415;0;Bottom;Via135
119;;;93.2942;-34.2698;0;Bottom;Copper Fill33
120;;;55.2118;-40.9817;0;Bottom;Via55
121;;;37.4318;-48.6017;0;Bottom;Via198
122;;;36.1696;-19.0806;0;Bottom;Copper Fill84
123;;;50.1318;-48.6017;0;Bottom;Via26
124;;;50.388;-75.3814;-90;Bottom;TXT2
125;;;37.4318;-35.9017;0;Bottom;Via204
126;;;22.1918;-58.7619;0;Bottom;Via128
127;;;53.9496;-65.3086;0;Bottom;Copper Fill59
128;;;45.0518;-48.6017;0;Bottom;Via14
129;;;72.9742;-26.5228;0;Bottom;Copper Fill21
130;;;28.2702;-69.7917;0;Bottom;Copper Fill11
131;;;62.8318;-30.8217;0;Bottom;Via101
132;;;52.6718;-30.8215;0;Bottom;Via41
133;;;28.8671;-5.9742;0;Bottom;Copper Fill19
134;;;47.5918;-35.9016;0;Bottom;Via10
135;;;55.2118;-56.2219;0;Bottom;Via58
136;10k;THT;10.3476;-27.5448;-90;Bottom;R1
137;;;60.2918;-35.9017;0;Bottom;Via84
138;;;53.2487;-14.3584;-90;Bottom;TXT2
139;;;50.1318;-58.7618;0;Bottom;Via25
140;;;25.1613;-74.7671;-90;Bottom;TXT2
141;;;62.8318;-53.6817;0;Bottom;Via107
